autor,titulo,top_10_palabras
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo IV","[{'son': 3, 'intemperante': 2, 'manera': 2, 'posible': 1, 'absoluto': 1, 'alguno': 1, 'todos': 1, 'siempre': 1, 'relativa': 1, 'particular': 1}, {'son': 5, 'nombre': 5, 'placeres': 4, 'intemperantes': 4, 'sí': 3, 'ser': 3, 'absoluta': 3, 'especial': 3, 'hombre': 2, 'entre': 2}, {'intemperante': 5, 'goces': 4, 'hombre': 4, 'placeres': 3, 'elección': 3, 'disoluto': 3, 'están': 3, 'deseos': 3, 'cuales': 2, 'puede': 2}, {'son': 8, 'cosas': 3, 'naturaleza': 3, 'ellas': 3, 'deben': 2, 'algunas': 2, 'deseos': 2, 'nos': 2, 'hay': 2, 'merecen': 2}, {'intemperancia': 6, 'estos': 3, 'puede': 2, 'casos': 2, 'simplemente': 2, 'sino': 2, 'clase': 2, 'censura': 2, 'porque': 2, 'dice': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo V","[{'son': 10, 'estos': 9, 'gustos': 7, 'hay': 6, 'sólo': 5, 'resultado': 5, 'naturaleza': 5, 'efecto': 4, 'veces': 4, 'enfermedad': 4}, {'perversidad': 2, 'absoluto': 2, 'brutal': 2, 'enfermiza': 2, 'esta': 2, 'palabra': 2, 'intemperancia': 2, 'hombre': 1, 'puede': 1, 'llamársela': 1}, {'intemperancia': 2, 'cosas': 2, 'resumen': 1, 've': 1, 'templanza': 1, 'sólo': 1, 'extienden': 1, 'pueden': 1, 'aplicar': 1, 'igualmente': 1}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo VI","[{'corazón': 3, 'razón': 3, 'ver': 2, 'cólera': 2, 'escucha': 2, 'sólo': 2, 'antes': 2, 'oído': 2, 'les': 2, 'orden': 2}, {'cólera': 4, 'padre': 4, 'porque': 3, 'cierto': 2, 'obedece': 2, 'razón': 2, 'nada': 2, 'deseos': 2, 'cede': 2, 'siempre': 2}, {'puede': 1, 'añadirse': 1, 'culpables': 1, 'son': 1, 'general': 1, 'disimulan': 1, 'designios': 1, 'travesuras': 1, 'hombre': 1, 'obra': 1}, {'pérfida': 1, 'cipride': 1, 'sabe': 1, 'urdir': 1, 'artificios141': 1}, {'ceñidor': 1, 'habla': 1, 'homero142': 1}, {'divino': 1, 'talismán': 1, 'lazo': 1, 'podía': 1, 'caer': 1, 'corazón': 1, 'sabio': 1}, {'intemperancia': 4, 'cólera': 4, 'culpable': 2, 'hay': 2, 'insulto': 2, 'obra': 2, 'consiguiente': 1, 'esta': 1, 'clase': 1, 'disimulada': 1}, {'intemperancia': 2, 'concluyamos': 1, 'pues': 1, 'nuevo': 1, 'nos': 1, 'arrastran': 1, 'deseos': 1, 'vergonzosa': 1, 'cólera': 1, 'templanza': 1}, {'son': 7, 'principio': 4, 'hombre': 4, 'puede': 3, 'animales': 3, 'menos': 3, 'malo': 3, 'aquí': 2, 'placeres': 2, 'otros': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo VII","[{'hombres': 3, 'placeres': 2, 'cuanto': 1, 'sufrimientos': 1, 'deseos': 1, 'aversiones': 1, 'corresponden': 1, 'sentidos': 1, 'tacto': 1, 'gusto': 1}, {'hombre': 6, 'son': 4, 'deseos': 4, 'exceso': 3, 'puede': 3, 'entre': 3, 'arrastrado': 3, 'placeres': 2, 'distinguirse': 2, 'sólo': 2}, {'hombre': 4, 'resistir': 4, 'hombres': 4, 'templanza': 3, 'entre': 3, 'molicie': 3, 'opuesto': 2, 'débil': 2, 'blando': 2, 'firmeza': 2}, {'intemperancia': 3, 'porque': 3, 'pasión': 3, 'otros': 3, 'puede': 2, 'arrebato': 2, 'unos': 2, 'complacientes': 2, 'razón': 2, 'dejan': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo VIII","[{'dicho': 3, 'intemperante': 3, 'vicio': 3, 'parece': 3, 'intemperancia': 3, 'son': 3, 'menos': 3, 'incontinencia': 2, 'contrario': 2, 'puede': 2}, {'son': 4, 'principio': 4, 'nos': 4, 'intemperancia': 3, 'precisamente': 3, 'perversidad': 3, 'contra': 3, 'placeres': 3, 'razón': 3, 'mientras': 3}, {'vista': 1, 'precede': 1, 'puede': 1, 'concluir': 1, 'evidentemente': 1, 'disposición': 1, 'moral': 1, 'intemperante': 1, 'todavía': 1, 'buena': 1}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo IX","[{'razón': 8, 'cualquiera': 5, 'resolución': 4, 'hombre': 3, 'sí': 3, 'sea': 3, 'sólo': 3, 'intemperante': 3, 'atiene': 3, 'esencialmente': 3}, {'opinión': 3, 'templado': 3, 'pertinaces': 2, 'hombre': 2, 'bajo': 2, 'hay': 1, 'personas': 1, 'mantienen': 1, 'firmemente': 1, 'cuales': 1}, {'placer': 5, 'opinión': 3, 'le': 3, 'son': 2, 'pertinaces': 2, 'intemperante': 2, 'sí': 2, 'puede': 2, 'sea': 2, 'verdad': 2}, {'razón': 3, 'menos': 2, 'hombre': 2, 'verdaderamente': 2, 'templado': 2, 'siempre': 2, 'intemperante': 2, 'tiene': 2, 'algo': 2, 'templanza': 2}, {'hombre': 3, 'placeres': 3, 'vista': 2, 'entre': 2, 'templanza': 2, 'prudente': 2, 'esta': 2, 'contra': 2, 'razón': 2, 'concepto': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo X","[{'intemperante': 5, 'hombre': 4, 'porque': 4, 'hace': 4, 'prudente': 3, 'ser': 3, 'sea': 2, 'e': 2, 'ha': 2, 'debe': 2}, {'quiere': 1, 'estado': 1, 'piensa': 1, 'leyes': 1}, {'leyes': 2, 'cuanto': 1, 'hombre': 1, 'verdaderamente': 1, 'vicioso': 1, 'parece': 1, 'contrario': 1, 'estado': 1, 'aplica': 1, 'son': 1}, {'son': 3, 'hábito': 3, 'hombres': 2, 'tienen': 2, 'intemperancias': 2, 'caracteres': 2, 'porque': 2, 'naturaleza': 2, 'intemperancia': 1, 'templanza': 1}, {'gusto': 1, 'mi': 1, 'querido': 1, 'amigo': 1, 'dura': 1, 'tiempo': 1, 'puede': 1, 'concluir': 1, 'ser': 1, 'naturaleza': 1}, {'hemos': 2, 'son': 2, 'resumen': 1, 'explicado': 1, 'templanza': 1, 'intemperancia': 1, 'firmeza': 1, 'molicie': 1, 'hecho': 1, 'ver': 1}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo XI","[{'placer': 2, 'felicidad': 2, 'expresa': 2, 'quiere': 1, 'tratar': 1, 'filosóficamente': 1, 'ciencia': 1, 'política': 1, 'debe': 1, 'estudiarse': 1}, {'placer': 3, 'ser': 3, 'hay': 2, 'sostiene': 2, 'puede': 2, 'jamás': 2, 'ni': 2, 'son': 2, 'placeres': 2, 'bienes': 2}, {'placer': 6, 'placeres': 4, 'son': 4, 'puede': 3, 'hay': 3, 'fenómeno': 2, 'fin': 2, 'ejemplo': 2, 'casa': 2, 'hombre': 2}, {'placer': 1, 'supremo': 1, 'fin': 1, 'fenómeno': 1, 'simple': 1, 'generación': 1, 'tales': 1, 'son': 1, 'menos': 1, 'todas': 1}, {'son': 13, 'placeres': 11, 'naturaleza': 6, 'placer': 5, 'ni': 4, 'cosas': 4, 'le': 3, 'tal': 3, 'sólo': 3, 'tienen': 3}, {'generación': 6, 'placer': 4, 'fin': 4, 'porque': 4, 'placeres': 4, 'todos': 3, 'acto': 3, 'cosa': 3, 'superior': 2, 'cosas': 2}, {'son': 4, 'salud': 3, 'placeres': 2, 'malos': 2, 'realmente': 2, 'pueden': 2, 'sostener': 1, 'porque': 1, 'hay': 1, 'algunos': 1}, {'placer': 2, 'trabas': 2, 'placeres': 2, 'tampoco': 1, 'pone': 1, 'pretende': 1, 'ejercicio': 1, 'razón': 1, 'general': 1, 'viene': 1}, {'arte': 5, 'puede': 2, 'placer': 2, 'razón': 1, 'demás': 1, 'admite': 1, 'existir': 1, 'tampoco': 1, 'ningún': 1, 'acto': 1}, {'placeres': 7, 'huye': 5, 'estos': 5, 'hombre': 4, 'prudente': 3, 'son': 3, 'objeciones': 2, 'placer': 2, 'sobrio': 2, 'busca': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo XII","[{'mal': 5, 'placer': 4, 'dolor': 3, 'contrario': 3, 'porque': 2, 'sea': 2, 'especie': 2, 'otra': 1, 'convengo': 1, 'mundo': 1}, {'placer': 8, 'bienes': 6, 'felicidad': 5, 'haya': 4, 'sea': 4, 'ser': 4, 'obstáculo': 4, 'cierto': 3, 'supremo': 3, 'sean': 3}, {'palabra': 1, 'tantas': 1, 'veces': 1, 'repetida': 1, 'pueblos': 1, 'nunca': 1, 'completamente': 1, 'contraria': 1, 'verdad155': 1}, {'placer': 10, 'todos': 5, 'ni': 4, 'son': 4, 'tampoco': 3, 'hombre': 3, 'estado': 2, 'aquí': 2, 'buscan': 2, 'quizá': 2}]"
Aristoteles,"Moral a Nicómaco · libro séptimo, capítulo XIII","[{'placeres': 9, 'exceso': 8, 'son': 7, 'sólo': 4, 'contrario': 3, 'todos': 3, 'placer': 3, 'dolor': 3, 'cuerpo': 2, 'preciso': 2}, {'verdad': 2, 'ha': 2, 'basta': 1, 'encontrar': 1, 'preciso': 1, 'además': 1, 'explicar': 1, 'causa': 1, 'error': 1, 'medio': 1}, {'placer': 8, 'son': 5, 'siempre': 5, 'sólo': 5, 'hombres': 5, 'dolor': 4, 'naturaleza': 4, 'placeres': 4, 'tienen': 4, 'estado': 4}, {'son': 4, 'placeres': 3, 'agradables': 3, 'naturaleza': 2, 'nos': 2, 'actividad': 2, 'sana': 2, 'contrario': 1, 'van': 1, 'acompañados': 1}, {'naturaleza': 5, 'acto': 5, 'hay': 3, 'porque': 3, 'simple': 3, 'está': 3, 'placer': 3, 'otra': 2, 'siempre': 2, 'nos': 2}, {'aquí': 1, 'concluye': 1, 'teníamos': 1, 'templanza': 1, 'intemperancia': 1, 'placer': 1, 'dolor': 1, 'explicado': 1, 'naturaleza': 1, 'estas': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo primero","[{'ella': 4, 'amigos': 4, 'amistad': 2, 'virtud': 2, 'además': 2, 'todos': 2, 'bienes': 2, 'cuanto': 2, 'ejerce': 2, 'toda': 2}, {'dos': 1, 'decididos': 1, 'compañeros': 1, 'marchan': 1, 'juntos': 1, 'son': 1, 'capaces': 1, 'pensar': 1, 'muchas': 1, 'cosas159': 1}, {'hombres': 4, 'amistad': 4, 'aman': 3, 'amigos': 3, 'hombre': 3, 'justicia': 3, 'sentimiento': 2, 'corazón': 2, 'ser': 2, 'ha': 2}, {'semejante': 4, 'son': 3, 'han': 3, 'busca': 3, 'amistad': 2, 'parecen': 2, 'otros': 2, 'completamente': 2, 'contrario': 2, 'entre': 2}, {'son': 5, 'amistad': 3, 'cuestiones': 2, 'carácter': 2, 'aquí': 2, 'hombres': 2, 'hay': 2, 'sola': 2, 'menos': 2, 'dejemos': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo II","[{'objeto': 6, 'bueno': 5, 'ser': 4, 'pueden': 3, 'cosas': 3, 'ama': 3, 'amable': 3, 'agradable': 3, 'parece': 3, 'él': 3}, {'puede': 4, 'amistad': 3, 'benevolencia': 3, 'debe': 3, 'ser': 3, 'gentes': 3, 'jamás': 2, 'tiene': 2, 'veces': 2, 'ellas': 2}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo III","[{'ama': 7, 'aman': 6, 'sólo': 5, 'sino': 4, 'placer': 4, 'amistades': 3, 'le': 3, 'motivos': 2, 'afección': 2, 'son': 2}, {'amigos': 3, 'amistades': 1, 'género': 1, 'rompen': 1, 'fácilmente': 1, 'porque': 1, 'estos': 1, 'pretendidos': 1, 'subsisten': 1, 'largo': 1}, {'placer': 6, 'jóvenes': 4, 'amistad': 3, 'esta': 3, 'sólo': 3, 'parece': 2, 'hombres': 2, 'edad': 2, 'busca': 2, 'buscan': 2}, {'son': 12, 'amistad': 9, 'amigos': 8, 'ser': 8, 'buenos': 7, 'absolutamente': 6, 'porque': 5, 'mutuamente': 4, 'tan': 4, 'tiempo': 4}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo IV","[{'amistad': 4, 'placer': 4, 'entre': 4, 'tiene': 3, 'puede': 3, 'porque': 2, 'buenos': 2, 'interés': 2, 'puesto': 2, 'son': 2}, {'interés': 3, 'son': 3, 'amigos': 3, 'sólo': 2, 'menos': 2, 'eran': 2, 'cuanto': 1, 'buscan': 1, 'cambio': 1, 'placeres': 1}, {'amigos': 5, 'hombres': 3, 'malos': 2, 'sean': 2, 'unos': 2, 'otros': 2, 'son': 2, 'ni': 2, 'placer': 1, 'interés': 1}, {'amistad': 2, 'especie': 2, 'hay': 1, 'sólo': 1, 'buenos': 1, 'inaccesible': 1, 'calumnia': 1, 'porque': 1, 'pueden': 1, 'creerse': 1}, {'son': 5, 'amigos': 4, 'sólo': 4, 'interés': 3, 'aman': 3, 'placer': 3, 'amistades': 3, 'puesto': 2, 'llaman': 2, 'será': 2}, {'sólo': 3, 'amigos': 3, 'son': 3, 'porque': 2, 'tienen': 2, 'sí': 2, 'estos': 2, 'semejanza': 2, 'buenos': 2, 'dividiéndose': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo V","[{'amistad': 4, 'unos': 2, 'son': 2, 'virtuosos': 2, 'disposición': 2, 'están': 2, 'otros': 2, 'amigos': 2, 'distancia': 2, 'embargo': 2}, {'frecuencia': 1, 'largo': 1, 'silencio': 1, 'ha': 1, 'destruido': 1, 'amistad': 1}, {'le': 5, 'amistad': 3, 'placer': 3, 'entre': 3, 'pasar': 2, 'tiempo': 2, 'juntos': 2, 'desea': 2, 'menos': 2, 'general': 1}, {'absoluto': 2, 'ser': 2, 'hombre': 2, 'amistad': 1, 'excelencia': 1, 'pues': 1, 'hombres': 1, 'virtuosos': 1, 'temamos': 1, 'decirlo': 1}, {'amistad': 7, 'son': 5, 'ser': 4, 'ama': 4, 'porque': 4, 'manera': 3, 'siempre': 3, 'ellos': 3, 'amigo': 3, 'amigos': 3}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo VI","[{'amistad': 5, 'muchos': 3, 'porque': 3, 'posible': 2, 'perfecta': 2, 'verdadera': 2, 'personas': 2, 'siempre': 2, 'hay': 2, 'otra': 2}, {'amigos': 8, 'agradables': 4, 'útiles': 3, 'les': 3, 'tienen': 2, 'relaciones': 2, 'quieren': 2, 'personas': 2, 'siempre': 2, 'ni': 2}, {'hombre': 3, 'estas': 2, 'virtud': 2, 'cualidades': 1, 'placer': 1, 'reúnen': 1, 'frecuentemente': 1, 'individuo': 1, 'ha': 1, 'dicho': 1}, {'amistades': 6, 'son': 4, 'amistad': 4, 'menos': 3, 'ventaja': 3, 'otra': 3, 'están': 2, 'dos': 2, 'verdaderas': 2, 'semejanza': 2}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo VII","[{'amistad': 4, 'afección': 4, 'ejemplo': 3, 'padre': 3, 'hijo': 3, 'marido': 3, 'mujer': 3, 'afecciones': 3, 'padres': 3, 'hijos': 3}, {'amistad': 3, 'ocupa': 3, 'está': 3, 'mérito': 3, 'respecto': 3, 'igualdad': 2, 'orden': 2, 'justicia': 2, 'puesto': 2, 'relación': 2}, {'amigo': 5, 'amigos': 4, 'bienes': 3, 'preciso': 2, 'todos': 2, 'ni': 2, 'puede': 2, 'ser': 2, 'amistad': 2, 'dioses': 2}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo VIII","[{'hombres': 4, 'estimación': 4, 'ellos': 3, 'consideración': 3, 'mayor': 2, 'les': 2, 'amado': 2, 'ser': 2, 'nos': 2, 'movidos': 1}, {'ser': 2, 'hijos': 2, 'amistad': 1, 'demás': 1, 'parece': 1, 'consistir': 1, 'amar': 1, 'amado': 1, 'prueba': 1, 'placer': 1}, {'amigos': 8, 'son': 6, 'ser': 5, 'otra': 4, 'porque': 4, 'amistad': 3, 'constantes': 3, 'esta': 3, 'tienen': 3, 'tiende': 3}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo IX","[{'amistad': 6, 'justicia': 5, 'son': 4, 'entre': 4, 'menos': 4, 'mismos': 3, 'asociación': 3, 'amigos': 3, 'porque': 3, 'relaciones': 3}, {'asociaciones': 4, 'asociación': 4, 'política': 3, 'interés': 3, 'utilidad': 3, 'estas': 3, 'demás': 2, 'todas': 2, 'sino': 2, 'satisfacer': 2}, {'todas': 2, 'asociaciones': 2, 'resulta': 1, 'pues': 1, 'especiales': 1, 'son': 1, 'partes': 1, 'asociación': 1, 'política': 1, 'consiguiente': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo X","[{'reinado': 5, 'rey': 4, 'son': 3, 'peor': 3, 'tiranía': 3, 'sólo': 3, 'puede': 2, 'timocracia': 2, 'mejor': 2, 'tiene': 2}, {'son': 3, 'reinado': 2, 'convierte': 2, 'tiranía': 2, 'porque': 2, 'sí': 2, 'menos': 2, 'timocracia': 2, 'democracia': 2, 'corrompe': 1}, {'tales': 1, 'son': 1, 'leyes': 1, 'cambio170': 1, 'sufren': 1, 'frecuentemente': 1, 'estados': 1, 'experimentando': 1, 'modo': 1, 'modificaciones': 1}, {'asociación': 5, 'poder': 5, 'son': 5, 'padre': 4, 'porque': 4, 'hijos': 3, 'dueño': 3, 'hombre': 3, 'familia': 2, 'forma': 2}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo XI","[{'padre': 4, 'afecto': 4, 'amistad': 3, 'misma': 3, 'justicia': 3, 'le': 3, 'igualmente': 3, 'tienen': 3, 'ciudadanos': 3, 'reina': 2}, {'hay': 7, 'amistad': 6, 'esclavo': 6, 'justicia': 5, 'entre': 5, 'son': 5, 'posible': 3, 'cosas': 3, 'hombre': 3, 'formas': 2}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo XII","[{'entre': 5, 'asociación': 2, 'misma': 2, 'todas': 2, 'relaciones': 2, 'toda': 1, 'amistad': 1, 'descansa': 1, 'hemos': 1, 'dicho': 1}, {'padres': 8, 'aman': 7, 'hijos': 6, 'pertenece': 5, 'ellos': 4, 'ser': 4, 'mismos': 3, 'son': 3, 'seres': 3, 'quien': 3}, {'entre': 2, 'padres': 2, 'paridad': 2, 'son': 2, 'misma': 2, 'hermanos': 1, 'aman': 1, 'sí': 1, 'porque': 1, 'naturaleza': 1}, {'complacen': 1, 'fácilmente': 1, 'son': 1, 'misma': 1, 'edad': 1, '172': 1}, {'tienen': 2, 'camaradas': 2, 'mismas': 1, 'inclinaciones': 1, 'cuesta': 1, 'trabajo': 1, 'hacerse': 1, 'he': 1, 'aquí': 1, 'amistad': 1}, {'padres': 3, 'nos': 3, 'afección': 3, 'dioses': 2, 'porque': 2, 'son': 2, 'general': 2, 'cuanto': 2, 'amor': 1, 'hijos': 1}, {'son': 4, 'común': 4, 'esta': 4, 'demás': 3, 'entre': 3, 'dos': 3, 'porque': 3, 'hijos': 3, 'esposos': 3, 'afección': 2}, {'deben': 3, 'amigo': 3, 'indagar': 2, 'cómo': 2, 'vivir': 1, 'marido': 1, 'mujer': 1, 'general': 1, 'absolutamente': 1, 'ser': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo XIII","[{'son': 4, 'amigos': 4, 'ser': 4, 'iguales': 4, 'pueden': 3, 'afección': 2, 'amistades': 1, 'especies': 1, 'dijimos': 1, 'principio': 1}, {'quejas': 2, 'sólo': 2, 'producen': 2, 'amistad': 2, 'virtud': 2, 'porque': 2, 'hay': 2, 'esta': 2, 'ni': 2, 'le': 2}, {'amistad': 3, 'siempre': 3, 'justo': 3, 'puede': 3, 'legal': 3, 'relación': 3, 'plazo': 3, 'interés': 2, 'está': 2, 'quejas': 2}, {'recibir': 3, 'ha': 3, 'menos': 2, 'cuanto': 1, 'relación': 1, 'moral': 1, 'género': 1, 'descansa': 1, 'convenciones': 1, 'positivas': 1}, {'debe': 4, 'recibido': 4, 'servicio': 4, 'preciso': 3, 'había': 3, 'siempre': 2, 'ha': 2, 'grado': 2, 'amigo': 2, 'parecería': 2}, {'servicio': 6, 'ha': 5, 'debe': 4, 'recibe': 2, 'precisamente': 2, 'tan': 2, 'bienhechores': 2, 'importancia': 2, 'otros': 2, 'ellos': 2}, {'virtud': 2, 'intención': 2, 'amistades': 1, 'sólo': 1, 'están': 1, 'fundadas': 1, 'hay': 1, 'temer': 1, 'recriminaciones': 1, 'ni': 1}]"
Aristoteles,"Moral a Nicómaco · libro octavo, capítulo XIV","[{'superior': 3, 'amistad': 3, 'debe': 3, 'mayor': 3, 'provecho': 3, 'dos': 2, 'cual': 2, 'puede': 2, 'esta': 2, 'virtud': 2}, {'hijo': 7, 'debe': 6, 'puede': 6, 'padre': 6, 'ha': 4, 'hay': 3, 'público': 3, 'recibido': 3, 'honor': 3, 'dinero': 3}, {'quiero': 1, 'desenvolver': 1, 'tenía': 1, 'punto': 1}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo primero","[{'son': 3, 'amistad': 3, 'ella': 3, 'amado': 3, 'sólo': 3, 'amistades': 2, 'esto': 2, 'asociación': 2, 'entre': 2, 'da': 2}, {'cosa': 3, 'le': 3, 'ha': 3, 'otra': 2, 'porque': 2, 'aquel': 2, 'cantor': 2, 'fue': 2, 'placer': 2, 'esta': 2}, {'sacad': 1, 'vuestros': 1, 'amigos': 1, 'provecho': 1, 'equitativo': 1}, {'dinero': 4, 'porque': 3, 'puede': 3, 'nada': 2, 'han': 2, 'cargos': 2, 'hay': 2, 'servicio': 2, 'pueden': 2, 'jamás': 2}, {'ha': 4, 'valor': 4, 'sino': 3, 'debe': 3, 'servicio': 2, 'hecho': 2, 'utilidad': 2, 'cambio': 2, 'será': 2, 'remuneración': 2}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo II","[{'debe': 5, 'otras': 2, 'cuestiones': 2, 'hombre': 2, 'estas': 2, 'he': 1, 'aquí': 1, 'pueden': 1, 'presentar': 1, 'aún': 1}, {'debe': 5, 'puede': 5, 'ha': 5, 'hombre': 4, 'preciso': 3, 'antes': 3, 'padre': 3, 'porque': 3, 'prestado': 3, 'lado': 2}, {'debe': 4, 'padre': 4, 'les': 3, 'madre': 3, 'padres': 2, 'le': 2, 'general': 2, 'parientes': 2, 'deben': 2, 'ser': 2}, {'todas': 3, 'debe': 3, 'preciso': 2, 'nosotros': 2, 'demás': 2, 'estas': 2, 'son': 2, 'trata': 2, 'personas': 2, 'ocasiones': 1}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo III","[{'ha': 3, 'siendo': 2, 'unos': 2, 'otros': 2, 'interés': 2, 'placer': 2, 'nada': 2, 'objeto': 2, 'corazón': 2, 'amigos': 2}, {'hombre': 3, 'porque': 3, 'amar': 3, 'debe': 3, 'hay': 3, 'caso': 2, 'ha': 2, 'parece': 2, 'sino': 2, 'ni': 2}, {'amigos': 4, 'amistad': 4, 'dos': 2, 'debe': 2, 'hace': 2, 'entre': 2, 'razón': 2, 'hombre': 2, 'puesto': 2, 'mismos': 2}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo IV","[{'hombre': 10, 'sí': 7, 'amigo': 6, 'quiere': 5, 'porque': 5, 'tiene': 4, 'está': 4, 'sentimientos': 3, 'amigos': 3, 'hace': 3}, {'hay': 3, 'sí': 2, 'amistad': 2, 'cuanto': 1, 'cuestión': 1, 'saber': 1, 'realmente': 1, 'amor': 1, 'dejaremos': 1, 'momento': 1}, {'sí': 9, 'mismos': 7, 'hombres': 5, 'ser': 5, 'ellos': 4, 'porque': 4, 'están': 4, 'estas': 3, 'pueden': 3, 'malos': 3}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo V","[{'benevolencia': 10, 'amistad': 8, 'ni': 6, 'puede': 5, 'porque': 5, 'ellos': 4, 'inclinación': 3, 'amar': 3, 'persona': 3, 'tampoco': 2}, {'general': 1, 'benevolencia': 1, 'nace': 1, 'vista': 1, 'virtud': 1, 'mérito': 1, 'cualquiera': 1, 'siempre': 1, 'persona': 1, 'muestra': 1}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo VI","[{'concordia': 5, 'porque': 5, 'entre': 4, 'ejemplo': 3, 'amistad': 2, 'he': 2, 'debe': 2, 'puede': 2, 'piensen': 2, 'objeto': 2}, {'esta': 2, 'concordia': 2, 'corazones': 2, 'están': 2, 'entre': 2, 'sí': 2, 'porque': 2, 'cosas': 2, 'sólo': 2, 'interés': 2}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo VII","[{'servicio': 3, 'les': 3, 'aman': 2, 'reciben': 2, 'esta': 2, 'son': 2, 'deudores': 2, 'otros': 2, 'deben': 2, 'han': 2}, {'obra': 7, 'acto': 5, 'causa': 4, 'hecho': 4, 'hay': 4, 'le': 4, 'porque': 4, 'algo': 4, 'han': 3, 'aman': 3}, {'ha': 2, 'han': 2, 'adquirido': 2, 'hijos': 2, 'debe': 1, 'observarse': 1, 'además': 1, 'tiene': 1, 'siempre': 1, 'cariño': 1}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo VIII","[{'sí': 3, 'hace': 3, 'hombre': 2, 'malo': 2, 'sólo': 2, 'obra': 2, 'cuanto': 2, 'ha': 1, 'preguntado': 1, 'conviene': 1}, {'amigo': 6, 'todas': 3, 'estas': 3, 'individuo': 3, 'mejor': 2, 'condiciones': 2, 'sí': 2, 'demás': 2, 'amistad': 2, 'dice': 1}, {'pregunta': 1, 'razón': 1, 'cuál': 1, 'estas': 1, 'dos': 1, 'diversas': 1, 'soluciones': 1, 'debe': 1, 'seguirse': 1, 'ambas': 1}, {'verdad': 2, 'egoísmo': 2, 'esta': 2, 'censura': 2, 'egoístas': 2, 'vulgo': 2, 'son': 2, 'quizá': 1, 'baste': 1, 'distinguir': 1}, {'hombre': 5, 'egoísta': 4, 'razón': 4, 'todos': 3, 'sólo': 3, 'otra': 3, 'ser': 3, 'según': 3, 'egoísmo': 3, 'nombre': 2}, {'hombre': 5, 'debe': 3, 'porque': 3, 'sólo': 3, 'todos': 2, 'virtud': 2, 'siempre': 2, 'egoísta': 2, 'malo': 2, 'hace': 2}, {'amigo': 4, 'hombre': 3, 'honor': 3, 'virtuoso': 2, 'hará': 2, 'amigos': 2, 'aunque': 2, 'estos': 2, 'multitud': 2, 'sólo': 2}, {'hombre': 3, 'todas': 1, 'acciones': 1, 'dignas': 1, 'alabanza': 1, 'virtuoso': 1, 'toma': 1, 'cargo': 1, 'siempre': 1, 'grande': 1}]"
Aristoteles,"Moral a Nicómaco · libro noveno, capítulo IX","[{'mismos': 2, 'suscita': 1, 'aún': 1, 'otra': 1, 'cuestión': 1, 'pregunta': 1, 'dichoso': 1, 'tiene': 1, 'necesidad': 1, 'amigos': 1}, {'cielo': 1, 'os': 1, 'sostiene': 1, 'necesidad': 1, 'tenéis': 1, 'amigos': 1}, {'hombre': 3, 'amigos': 3, 'bienes': 2, 'beneficios': 2, 'supone': 1, 'tiene': 1, 'todos': 1, 'dichoso': 1, 'absurdo': 1, 'evidentemente': 1}, {'hombre': 6, 'necesidad': 4, 'amigos': 3, 'tiene': 3, 'personas': 3, 'le': 3, 'dichoso': 3, 'desgracia': 2, 'porque': 2, 'todos': 2}, {'amigos': 7, 'necesidad': 6, 'tiene': 4, 'son': 4, 'nos': 4, 'hombre': 4, 'puesto': 4, 'acciones': 4, 'todos': 3, 'estos': 3}, {'sí': 11, 'hombre': 10, 'sentir': 10, 'porque': 8, 'debe': 7, 'virtuoso': 7, 'amigo': 7, 'ser': 7, 'cosa': 6, 'vivir': 5}]"
